Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-137009,124648,Restart services on becoming healthy,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,04/Aug/25 9:14 PM,09/Sep/25 5:25 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,hf_want,IX_EMPLOYEE,,,Defect
NAS-137394,125485,default nvmeof target port to 4420,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Sep/25 10:45 AM,09/Sep/25 4:54 PM,High,Complete,SCALE-25.10-BETA.1 (Goldeye),,,,IX_EMPLOYEE,,,,Improvement
NAS-137263,125135,NVMe-oF ANA option should be disable on Non HA Enterprise system,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,21/Aug/25 3:56 PM,09/Sep/25 4:33 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137418,125549,NVMe-of-service is locked for sharing admin,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,03/Sep/25 1:50 PM,09/Sep/25 4:24 PM,Undefined,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137432,125572,NVMe-of-service is locked for sharing admin (UI),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,04/Sep/25 7:25 AM,09/Sep/25 4:24 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137478,125712,Add nvmet to test_privilege_has_write_to_service,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,09/Sep/25 10:32 AM,09/Sep/25 12:33 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137476,125709,need zfs_prop_inherit functionality in truenas_pylibzfs,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,09/Sep/25 8:06 AM,09/Sep/25 12:24 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-136969,124568,Can't save a new replication task (infinite loading & 403 sentry),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,01/Aug/25 5:58 PM,09/Sep/25 12:15 PM,Medium,Complete,SCALE-25.04.1 (Fangtooth),,,,COMMUNITY_USER,doc_impact,ready_for_assignment,,Bug
NAS-137344,125335,UI to not show traceback when update.run is called,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,28/Aug/25 7:13 AM,09/Sep/25 11:27 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Improvement
NAS-137467,125694,Custom app version display,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/Sep/25 11:26 AM,09/Sep/25 9:54 AM,Medium,Complete,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137471,125698,Revert NAS-137424 call failover.become_passive in system.reboot on HA,SCALE-25.04.2.4 (Fangtooth),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,08/Sep/25 12:26 PM,09/Sep/25 8:57 AM,Blocker,Complete,SCALE-25.04.2.4 (Fangtooth),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137465,125686,Raising CallError in update.status,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/Sep/25 7:48 AM,09/Sep/25 8:54 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-137327,125297,remove nginx/error.log from nginx.conf,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Aug/25 7:20 AM,09/Sep/25 8:51 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Improvement
NAS-137229,125094,Add test for vm.query in STIG tests,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,19/Aug/25 2:58 PM,09/Sep/25 7:54 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-137428,125561,Applications Network reporting bytes vs bits,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,03/Sep/25 9:35 PM,09/Sep/25 7:14 AM,Medium,Complete,SCALE-25.04.2.3 (Fangtooth),,,,COMMUNITY_USER,,,,Bug
NAS-137392,125483,Truenas zfs 2.3.4 merge,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Sep/25 6:52 AM,08/Sep/25 3:12 PM,High,Complete,Master - TrueNAS SCALE,,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137407,125520,Webui button to refresh directory services cache was mistakenly removed in GE.,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Sep/25 4:31 PM,08/Sep/25 1:40 PM,Medium,Complete,,,,iX Private,IX_EMPLOYEE,,,,Defect
