Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-133669,115517,Add /sbin and /usr/sbin to PATH by default,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,20/Jan/25 12:04 PM,06/Mar/25 11:49 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-133791,115837,More strict null checks,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,24/Jan/25 3:46 PM,26/Jan/25 12:09 PM,Undefined,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-133814,115945,More strict null fixes,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,26/Jan/25 7:47 PM,30/Jan/25 11:30 AM,Undefined,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-133835,116008,Allow custom endpoint/gateway for Storj (API),SCALE-25.04.2 (Fangtooth),SCALE-25.10-ALPHA.1 (Goldeye),,,Done,28/Jan/25 7:28 AM,15/May/25 11:57 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-133847,116036,SED settings for ATA Security User ,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,28/Jan/25 4:00 PM,14/Jul/25 3:27 AM,Low,Complete,SCALE-25.04-BETA.1 (Fangtooth),,,,IX_EMPLOYEE,jirabug,,,Improvement
NAS-133901,116195,Examine api_method access kwargs,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,30/Jan/25 5:20 PM,12/Feb/25 4:12 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-133931,116296,Strict null fixes,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,01/Feb/25 8:45 AM,18/Feb/25 1:55 PM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-133982,116411,Allow backing up ix-apps with rsync or replication,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,04/Feb/25 1:44 AM,14/Aug/25 3:52 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-133984,116416,Finalize Versioned API,SCALE-25.10-BETA.1 (Goldeye),,,,Done,04/Feb/25 7:50 AM,18/Aug/25 2:36 PM,High,Complete,,,,,IX_EMPLOYEE,,,,Epic
NAS-133985,116417,pool.dataset/snapshot.rename API endpoints,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,04/Feb/25 8:28 AM,27/May/25 7:52 AM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,,,IX_EMPLOYEE,jirabug,,,Improvement
NAS-133992,116434,Fix some strict null issues,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,04/Feb/25 10:22 AM,18/Feb/25 1:55 PM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134000,116446,convert zfs_/dataset_actions.py to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,04/Feb/25 11:28 AM,13/Feb/25 7:26 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134028,116529,YAML Formatting and Syntax Highlighting for Apps,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,05/Feb/25 12:26 PM,12/Mar/25 6:06 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134055,116589,master branch tests failed,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,06/Feb/25 7:07 AM,18/Feb/25 1:55 PM,Low,Complete,SCALE-25.10-ALPHA.1 (Goldeye),,,,IX_EMPLOYEE,,,,Bug
NAS-134067,116611,slow truecloud backup performance ,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,06/Feb/25 12:12 PM,24/Apr/25 2:49 PM,High,Complete,SCALE-24.10.2 (ElectricEel),,,,COMMUNITY_USER,priority-was-lowest,ready_for_review,,Bug
NAS-134068,116614,Add a widget CPU temperature with a line graph,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,06/Feb/25 12:32 PM,05/Aug/25 7:39 AM,Low,Complete,Master - TrueNAS SCALE,,,,doc_impact,doc_resolved,IX_EMPLOYEE,,New Feature
NAS-134102,116694,More strict null checks,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,07/Feb/25 8:00 PM,18/Feb/25 1:45 PM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134122,116738,"Email Options: ""From Name"" entry will ignore anything in brackets",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,09/Feb/25 9:22 AM,12/Feb/25 11:33 AM,Low,Complete,SCALE-24.10.2 (ElectricEel),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-134125,116769,convert rsyntask plugin to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,10/Feb/25 8:24 AM,18/Feb/25 7:58 AM,Undefined,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134126,116770,convert smart plugin to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,10/Feb/25 8:26 AM,18/Feb/25 7:59 AM,Undefined,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134127,116771,convert vmware plugin to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,10/Feb/25 8:29 AM,18/Feb/25 7:59 AM,Undefined,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134128,116772,convert ups plugin to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,10/Feb/25 8:31 AM,05/Mar/25 9:15 AM,Undefined,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134129,116773,convert audit plugin to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,10/Feb/25 8:35 AM,28/Apr/25 9:35 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134130,116774,convert auth_/2fa.py to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,10/Feb/25 8:38 AM,17/Feb/25 5:16 PM,Undefined,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134141,116809,Try using signals with router,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,10/Feb/25 4:11 PM,17/Mar/25 6:26 AM,Undefined,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134152,116839,UUID related traceback when activating GPU for Jellyfin app,SCALE-25.10-BETA.1 (Goldeye),,,,Done,11/Feb/25 8:23 AM,14/Aug/25 10:50 AM,Medium,Complete,SCALE-25.04-BETA.1 (Fangtooth),,,,IX_EMPLOYEE,july-2510,ready_for_review,release_notes_mention,Defect
NAS-134190,116942,convert ipmi endpoints to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,12/Feb/25 3:46 PM,18/Feb/25 12:23 PM,Undefined,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134194,116972,More strict null fixes,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,13/Feb/25 9:41 AM,18/Feb/25 1:44 PM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
