Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels
Defect,NAS-141608,158798, samba: advertise only the WRITE_ACL/WRITE_OWNER that FS honors,26.0.0-BETA.3,,,,Done,30/Jun/26 11:57 AM,30/Jun/26 1:41 PM,High,Complete,26.0.0-BETA.2,SCALE-25.10.5 (Goldeye),,IX_EMPLOYEE,triage_skipped,
Bug,NAS-141272,158230,Warning for deprecated API keys are shown under Credentials/User instead of API Keys pane,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,05/Jun/26 10:32 AM,29/Jun/26 4:55 AM,Low,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
Bug,NAS-141287,158253,TrueCloud Backup: KeyError 'error.message' in restic_check_progress swallows all restic error messages; jobs can hang indefinitely,26.0.0-BETA.3,27.0.0-BETA.1,27.0.0-RC.1,SCALE-25.10.5 (Goldeye),Done,07/Jun/26 4:28 AM,28/Jun/26 8:14 PM,Medium,Complete,SCALE-25.10.4 (Goldeye),,,COMMUNITY_USER,hf_want,
Bug,NAS-141440,158473,WS-DISCOVERY not working on 26.0.0-BETA2 ,26.0.0-BETA.3,,,,Done,17/Jun/26 4:30 PM,28/Jun/26 5:17 PM,Medium,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
Bug,NAS-140907,157463,"After a corruption on one of my pools (not boot pool), Alerts for corrupted audit db is being raised.",26.0.0-BETA.3,27.0.0-BETA.1,,,Done,05/May/26 7:01 AM,26/Jun/26 9:22 AM,Low,Complete,SCALE-25.10.3 (Goldeye),,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-141238,158186,CLI process on getty@tty1 leaks ~46GB RAM causing system-wide OOM kills,26.0.0-BETA.3,27.0.0-BETA.1,SCALE-25.10.5 (Goldeye),,Done,03/Jun/26 11:23 AM,22/Jun/26 8:15 AM,Medium,Complete,SCALE-25.10.3.1 (Goldeye),SCALE-25.10.4 (Goldeye),,COMMUNITY_USER,hf_want,
Bug,NAS-141208,158105,"Extraneous IPv6 default routes added for interfaces with ""Autoconfigure IPv6"" disabled",26.0.0-BETA.3,27.0.0-BETA.1,,,Done,29/May/26 11:41 PM,17/Jun/26 3:14 PM,Medium,Complete,SCALE-25.10.3.1 (Goldeye),,,COMMUNITY_USER,,
Bug,NAS-141386,158393,Disable SLAAC for interface with DHCP (v4) enabled no longer works after dhcpcd migration,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,14/Jun/26 1:26 AM,16/Jun/26 10:42 AM,Medium,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
Bug,NAS-141144,157999,"Using console option 10, shutdown, still asks for a reason",26.0.0-BETA.3,27.0.0-BETA.1,27.0.0-RC.1,,Done,24/May/26 2:46 AM,16/Jun/26 10:39 AM,Low,Complete,SCALE-25.10.3 (Goldeye),,,COMMUNITY_USER,,
Defect,NAS-141161,158024,Switch to truenas_pyos access check function,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,25/May/26 9:57 AM,15/Jun/26 10:30 AM,Medium,Complete,27.0.0-BETA.1,,,IX_EMPLOYEE,triage_skipped,
Defect,NAS-141154,158015,Add check_path_access primitive for batched per-credential access probes,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,25/May/26 8:03 AM,15/Jun/26 10:29 AM,Medium,Complete,27.0.0-BETA.1,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-141234,158148,Cannot select pool for containers,26.0.0-BETA.3,27.0.0-BETA.1,N/A,,Done,02/Jun/26 9:32 PM,15/Jun/26 7:02 AM,Medium,Complete,SCALE-25.10.3.1 (Goldeye),,,COMMUNITY_USER,,
Bug,NAS-141166,158029,API: reporting.get_data does not return data in some cases,26.0.0-BETA.3,27.0.0-BETA.1,N/A,,Done,26/May/26 7:37 AM,15/Jun/26 4:04 AM,Low,Complete,,,,COMMUNITY_USER,,
Bug,NAS-141224,158129,Unable to delete certificate,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,01/Jun/26 1:26 PM,15/Jun/26 3:56 AM,Medium,Complete,SCALE-25.10.3.1 (Goldeye),,,COMMUNITY_USER,,
Bug,NAS-141221,158125,Database migration Error during update from TrueNAS-25.04.2.6 -> TrueNAS-25.10.3.1,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,01/Jun/26 1:02 PM,12/Jun/26 7:48 AM,Medium,Complete,SCALE-25.10.3.1 (Goldeye),,,COMMUNITY_USER,,
Improvement,NAS-141277,158237,Allow adding dedicated spares to pools with dRAID vdevs (WebUI),26.0.0-BETA.3,27.0.0-BETA.1,,,Done,05/Jun/26 2:38 PM,10/Jun/26 9:28 AM,High,Complete,,,,IX_EMPLOYEE,triage_skipped,
Improvement,NAS-140629,155643,Re-evaluate DRAID + Dedicated Spare Validation in Pool Creation,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,09/Apr/26 11:59 AM,05/Jun/26 2:38 PM,High,Complete,,,,IX_EMPLOYEE,,
Bug,NAS-141124,157943,"""VM is suspended and can only be resumed/powered off""",26.0.0-BETA.3,27.0.0-BETA.1,,,Done,21/May/26 1:34 PM,04/Jun/26 12:03 PM,Low,Complete,SCALE-25.10.3.1 (Goldeye),,,COMMUNITY_USER,,
Bug,NAS-140810,157259,"The ""Japan"" time zone is not working.",26.0.0-BETA.3,27.0.0-BETA.1,,,Done,27/Apr/26 11:54 PM,04/Jun/26 8:39 AM,Low,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,ready_for_assignment,
New Feature,NAS-141201,158088,Spare activation for special/dedup vdevs,26.0.0-BETA.3,,,,Done,29/May/26 11:30 AM,03/Jun/26 11:32 AM,High,Complete,26.0.0-BETA.2,,,IX_EMPLOYEE,,
Improvement,NAS-141113,157929,all_sed property missing in zpool.query,26.0.0-BETA.3,27.0.0-BETA.1,27.0.0-RC.1,,Done,21/May/26 7:50 AM,29/May/26 4:21 PM,High,Complete,,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-140955,157569,FAULTED Drive but VDEV appears fine,26.0.0-BETA.3,27.0.0-BETA.1,N/A,,Done,11/May/26 3:33 AM,29/May/26 10:01 AM,Low,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
Bug,NAS-141114,157930,stripe under topology in zpool.query,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,21/May/26 8:48 AM,29/May/26 7:46 AM,High,Complete,,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-141096,157905,Disks in the pool creation are not being filtered for SED Encryption,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,19/May/26 6:16 AM,27/May/26 1:49 PM,Medium,Complete,,,,IX_EMPLOYEE,triage_skipped,
Improvement,NAS-140730,157118,Sync WebUI with TrueNAS API v27 — granular roles & interface updates,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,20/Apr/26 8:02 AM,24/May/26 8:44 AM,Undefined,Complete,26.0.0-BETA.3,,,IX_EMPLOYEE,triage_skipped,
Improvement,NAS-140964,157587,Misleading message for TrueNAS Connect finalization timeout,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,11/May/26 2:11 PM,24/May/26 8:44 AM,Low,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,triage_skipped,
Improvement,NAS-140974,157637,Unneeded scroll for Connect to TrueCommand Cloud,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,12/May/26 7:49 AM,24/May/26 8:43 AM,Low,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-140957,157574,"Container Shell, Up / Down / Left / Right not working",26.0.0-BETA.3,27.0.0-BETA.1,,,Done,11/May/26 4:18 AM,24/May/26 8:43 AM,Medium,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
Improvement,NAS-141002,157683,Cloud Sync tasks (and probably others) have the same color on 2 statuses,26.0.0-BETA.3,27.0.0-BETA.1,N/A,,Done,14/May/26 3:38 AM,24/May/26 8:42 AM,Low,Complete,SCALE-25.10.3.1 (Goldeye),,,IX_EMPLOYEE,,
Improvement,NAS-141004,157687,Add zpool.query events,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,14/May/26 8:54 AM,21/May/26 10:19 AM,Medium,Complete,,,,IX_EMPLOYEE,triage_skipped,
Improvement,NAS-140965,157588,Orphaned TNC certificate after auto-unset,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,11/May/26 2:20 PM,16/May/26 5:13 PM,Medium,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-140978,157641,9500 TriMode drive has limited mdts of 2M but driver doesn't limit,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,12/May/26 12:24 PM,13/May/26 7:02 AM,High,Complete,,,,IX_EMPLOYEE,,
Bug,NAS-140905,157458,Warning Currently running system version profile does not match selected update profile,26.0.0-BETA.3,27.0.0-BETA.1,N/A,,Done,04/May/26 3:05 PM,12/May/26 10:50 AM,Medium,Complete,SCALE-25.10.2 (Goldeye),,,IX_EMPLOYEE,ready_for_assignment,triage_skipped
Bug,NAS-140732,157120,Erro acessing apps panel - Follow Up,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,20/Apr/26 10:22 AM,11/May/26 11:03 AM,Low,Complete,SCALE-25.10.3.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Improvement,NAS-140839,157301,Editable - edit icon is not consistent,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,29/Apr/26 9:26 AM,05/May/26 11:11 AM,Undefined,Complete,,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-140840,157302,Failed Rsync task alert remains after task has been removed,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,29/Apr/26 9:41 AM,01/May/26 4:45 PM,Low,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
