Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels
Bug,NAS-139459,138156,Avoid hitting API on every key stroke for user/groups,26.0.0-BETA.1 (Halfmoon),SCALE-25.10.2 (Goldeye),,Done,26/Jan/26 7:38 AM,06/Feb/26 8:05 AM,High,Complete,,,,IX_EMPLOYEE,,
Bug,NAS-139541,138879,Problems upgrading TrueNAS SCALE 25.04.2.6 -> 25.10.1,26.0.0-BETA.1 (Halfmoon),SCALE-25.10.2 (Goldeye),,Done,30/Jan/26 11:44 AM,05/Feb/26 9:56 AM,Blocker,Complete,SCALE-25.04.2.6 (Fangtooth),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138705,131501,Dashboard widget for Storage shows incorrect data,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Nov/25 2:48 PM,04/Feb/26 3:50 PM,High,Complete,SCALE-25.10.0.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-139575,139168,"Cannot open network settings, update apps, refresh app catalog or even send a bug report",26.0.0-BETA.1 (Halfmoon),SCALE-25.10.2 (Goldeye),,Done,01/Feb/26 12:49 PM,04/Feb/26 9:14 AM,High,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-139076,135080,SMB: legacy share ACL string not properly handled when flushing ACL to disk,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,23/Dec/25 12:53 PM,03/Feb/26 2:12 PM,Medium,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_review,
Improvement,NAS-138879,133732,Limit time of async destroy per TXG,SCALE-25.10.2 (Goldeye),,,Done,10/Dec/25 12:57 PM,02/Feb/26 12:10 PM,High,Complete,SCALE-25.10.1 (Goldeye),,,2604alpha2beta,hf_want,IX_EMPLOYEE
Bug,NAS-139196,135882,Can't create a bridge,26.0.0-BETA.1 (Halfmoon),SCALE-25.10.2 (Goldeye),,Done,06/Jan/26 9:05 PM,19/Jan/26 7:49 AM,Medium,Complete,SCALE-25.10.0.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-139130,135500,SSH Access can not be removed by Edit User SSH Sccess tick,26.0.0-BETA.1 (Halfmoon),SCALE-25.10.2 (Goldeye),,Done,31/Dec/25 10:54 AM,15/Jan/26 5:33 AM,Medium,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Improvement,NAS-138814,133047,Add hosts allow / hosts deny to all relevant SMB share purposes and add ability to re-sync kerberos keytab SPNs for AD.,SCALE-25.10.2 (Goldeye),,,Done,05/Dec/25 10:31 AM,13/Jan/26 11:29 AM,Blocker,Complete,SCALE-25.10.0.1 (Goldeye),,,IX_EMPLOYEE,,
Bug,NAS-139056,135016,Certificates with a DN > 1024 characters fail Pydantic validation,26.0.0-BETA.1 (Halfmoon),SCALE-25.10.2 (Goldeye),,Done,22/Dec/25 9:35 AM,12/Jan/26 4:47 AM,Undefined,Complete,Master - TrueNAS Nightlies,,,2604alpha2beta,COMMUNITY_USER,
Bug,NAS-138889,133844,Apps improvements (loading states),SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,11/Dec/25 8:05 AM,10/Jan/26 9:33 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,IX_EMPLOYEE,ready_for_assignment,
Bug,NAS-139073,135075,Fix filter in Users page to include Directory Services by default.,26.0.0-BETA.1 (Halfmoon),SCALE-25.10.2 (Goldeye),,Done,23/Dec/25 9:17 AM,08/Jan/26 8:39 AM,High,Complete,,,,doc_impact,IX_EMPLOYEE,
