Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels
Bug,NAS-138678,130971,Unable to replace failed 4TB drive: new disk is reported as ‘device is too small’ on TrueNAS SCALE 25.10 (Goldfish),SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,24/Nov/25 3:01 PM,05/Jan/26 11:46 AM,Medium,Complete,SCALE-25.10.0.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-139089,135221,High asyncio_loop usage caused by PyYAML holding the GIL,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Dec/25 9:38 AM,30/Dec/25 8:12 AM,Undefined,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,,
Bug,NAS-139010,134794,I often receive %(err)s Warning notification,26.0.0-BETA.1 (Halfmoon),SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,18/Dec/25 7:05 PM,19/Dec/25 10:14 AM,Medium,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138856,133570,When adding a second extent to an iSCSI target using the UI wizard it hangs,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,09/Dec/25 10:57 AM,16/Dec/25 3:07 PM,Medium,Complete,SCALE-25.10.0.1 (Goldeye),,,from_ui,IX_EMPLOYEE,ready_for_assignment
Bug,NAS-138424,128476,long error message with no scroll bar,SCALE-25.10.2 (Goldeye),,,Done,06/Nov/25 9:15 AM,16/Dec/25 11:15 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138886,133772,25.10 Cloud Sync tasks gone - cloud.d permissions?,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,10/Dec/25 4:56 PM,15/Dec/25 10:23 AM,Low,Complete,SCALE-25.10.0.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Improvement,NAS-138903,134114,validate S3 URI's for https:// inclusion,26.0.0-BETA.1 (Halfmoon),SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,12/Dec/25 8:56 AM,15/Dec/25 7:05 AM,Medium,Complete,SCALE-25.04.2.3 (Fangtooth),,,IX_EMPLOYEE,,
Defect,NAS-138756,132398,API documentation for jobs that require pipes is not helpful,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Dec/25 9:49 AM,09/Dec/25 12:59 PM,Medium,Complete,,,,IX_EMPLOYEE,,
Bug,NAS-138503,128988,[API] Duplicate vdev extension job,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,11/Nov/25 8:37 AM,08/Dec/25 8:52 AM,Medium,Complete,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Debug_Linked,mt_reviewed,
Bug,NAS-138467,128694,Session expiry setting not working,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/Nov/25 9:35 PM,06/Dec/25 6:00 AM,Medium,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138643,130618,We are working in the background to generate relevant data ... ?,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,21/Nov/25 10:26 AM,06/Dec/25 6:00 AM,Medium,Complete,Master - TrueNAS Nightlies,,,IX_EMPLOYEE,ready_for_assignment,
Improvement,NAS-138429,128489,Send PUT /v1/accounts/:id/systems/:system_id on port changes,SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,06/Nov/25 12:17 PM,02/Dec/25 12:06 PM,High,Complete,,,,IX_EMPLOYEE,ready_for_assignment,
