Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Labels
New Feature,NAS-138129,127287,adapt UI to special vdev changes in ZFS 2.4,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,20/Oct/25 11:10 AM,30/Dec/25 9:34 AM,Medium,Complete,,,,doc_impact,IX_EMPLOYEE,,,
Improvement,NAS-138524,129156,Add support for query-filter on json path such as `$.foo.bar[1]`,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,12/Nov/25 2:17 PM,28/Dec/25 11:11 AM,Low,Complete,,,,IX_EMPLOYEE,ready_for_assignment,,,
Improvement,NAS-138842,133357,Make sure disk gets synced and pool sed attr reflects reality after license updates,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,08/Dec/25 11:12 AM,28/Dec/25 11:10 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138938,134448,unit tests broken from NAS-138524,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,15/Dec/25 1:18 PM,28/Dec/25 11:07 AM,High,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-138743,132152,Migration of incus containers to libvirt implementation broken,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,01/Dec/25 10:16 AM,08/Dec/25 10:56 AM,High,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138373,128317,Containers API | NIC API | Add nic type to the response,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,04/Nov/25 5:11 AM,08/Dec/25 5:39 AM,Low,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,,,,
New Feature,NAS-138309,128145,Make sure containers in HA work nicely,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,01/Nov/25 9:27 AM,08/Dec/25 4:55 AM,High,Complete,,,,IX_EMPLOYEE,,,,
New Feature,NAS-138624,130494,Expose container metrics like we did for virt based instances metrics in the UI,26.0.0-BETA.1,,Done,20/Nov/25 11:14 AM,06/Dec/25 6:00 AM,Medium,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138484,128862,remove internal calls to zfs.snapshot.delete,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,10/Nov/25 12:31 PM,03/Dec/25 3:11 PM,Medium,Complete,,,,IX_EMPLOYEE,,,,
New Feature,NAS-138569,129562,Add nvidia gpu support for LXC containers,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,15/Nov/25 9:05 AM,01/Dec/25 5:52 AM,Medium,Complete,,,,IX_EMPLOYEE,,,,
New Feature,NAS-138483,128861,Update enterprise license to add a SED feature flag,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,10/Nov/25 11:22 AM,23/Nov/25 9:31 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
New Feature,NAS-138570,129564,Add intel gpu support for LXC containers,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,15/Nov/25 9:05 AM,22/Nov/25 11:02 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
New Feature,NAS-138571,129566,Investigate having metrics for LXC containers similar to how we had in virt plugin,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,15/Nov/25 10:16 AM,22/Nov/25 11:00 AM,Medium,Complete,,,,IX_EMPLOYEE,,,,
New Feature,NAS-138374,128319,Allow adding GPUs to containers,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,04/Nov/25 6:01 AM,15/Nov/25 10:15 AM,Medium,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138477,128852,Investigate/improve/fix container fields implementation,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,10/Nov/25 6:05 AM,15/Nov/25 9:19 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-137948,126711,Move away from pyOpenSSL and use cryptography instead for crypto plugin,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,08/Oct/25 2:11 AM,10/Nov/25 3:15 AM,Low,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138043,126963,Relaxed special vdev constraints in ZFS 2.4,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,14/Oct/25 2:13 PM,10/Nov/25 3:12 AM,Medium,Complete,,,,IX_EMPLOYEE,ready_for_assignment,,,
New Feature,NAS-138211,127655,Filesystem attachment delegate for Containers,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,27/Oct/25 8:01 AM,10/Nov/25 3:11 AM,Medium,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138395,128361,Clean unnecessary container parameters,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,05/Nov/25 2:32 AM,10/Nov/25 3:09 AM,Medium,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138400,128403,Remove disk/raw devices from containers,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,05/Nov/25 11:02 AM,10/Nov/25 3:08 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138471,128798,Order attr in VM devices not being respected,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,10/Nov/25 1:03 AM,10/Nov/25 3:08 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
New Feature,NAS-138210,127653,Pool Dataset details should show containers usage,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,27/Oct/25 7:58 AM,03/Nov/25 9:42 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-137787,126395,SCST needs a proper systemd unit file (not autogenerated),26.0.0-BETA.1,,Done,30/Sep/25 8:08 AM,30/Oct/25 6:46 PM,Low,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138022,126910,Migrate VMs to new bootloader/ovmf files in trixie,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,13/Oct/25 10:17 AM,27/Oct/25 6:03 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-138149,127327,Investigate random cert generation failure when TNC cert is being generated,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,21/Oct/25 12:16 PM,27/Oct/25 3:46 AM,Medium,Complete,SCALE-25.10.0 (Goldeye),,,IX_EMPLOYEE,,,,
New Feature,NAS-137769,126363,integrate webshare packages (for spotlight) into middleware,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,29/Sep/25 9:20 AM,22/Oct/25 1:58 PM,Blocker,Complete,,,,IX_EMPLOYEE,,,,
New Feature,NAS-137495,125748,bring in zfs 2.4 for HM,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,10/Sep/25 8:51 AM,14/Oct/25 2:22 PM,High,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-137901,126623,Unit tests internal push pipeline broken,26.0.0-BETA.1,,Done,06/Oct/25 1:33 AM,13/Oct/25 12:15 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-137947,126709,Cert revocation is broken in trixie due to upgraded packages,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,08/Oct/25 1:55 AM,13/Oct/25 12:14 AM,High,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-136913,124451,Clean upgrade strategy code from apps validation,26.0.0-BETA.1,SCALE-25.10-BETA.1 (Goldeye),Done,30/Jul/25 4:20 PM,19/Aug/25 4:50 PM,Low,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-136914,124453,Remove k8s migration validation logic from apps validation,26.0.0-BETA.1,SCALE-25.10-BETA.1 (Goldeye),Done,30/Jul/25 4:21 PM,19/Aug/25 4:50 PM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-136917,124457,Investigate/fix CI bug in apps which does not let correct last update to show up,26.0.0-BETA.1,,Done,30/Jul/25 6:18 PM,19/Aug/25 4:48 PM,Medium,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-136434,123320,Dashboard -> Apps Widget -> Application type Block I/O chart wrong,26.0.0-BETA.1,SCALE-25.10-BETA.1 (Goldeye),Done,23/Jun/25 4:34 PM,29/Jul/25 4:17 AM,Low,Complete,SCALE-25.04.1 (Fangtooth),,,es-2510,IX_EMPLOYEE,july-2510,ready_for_review,
